title,abstract
endogenous cell repair of chronic demyelination .,"in multiple sclerosis lesions , remyelination typically fails with repeated or chronic demyelinating episodes and results in neurologic disability . acute demyelination models in rodents typically exhibit robust spontaneous remyelination that prevents appropriate evaluation of strategies for improving conditions of insufficient remyelination . in the current study , we used a mouse model of chronic demyelination induced by continuous ingestion of 0.2 % cuprizone for 12 weeks . this chronic process depleted the oligodendrocyte progenitor population and impaired oligodendrocyte regeneration . remyelination remained limited after removal of cuprizone from the diet . fibroblast growth factor 2 ( fgf2 ) expression was persistently increased in the corpus callosum of chronically demyelinated mice as compared with nonlesioned mice . we used fgf2 ( − / − ) mice to determine whether removal of endogenous fgf2 promoted remyelination of chronically demyelinated areas . wild - type and fgf2 ( − / − ) mice exhibited similar demyelination during chronic cuprizone treatment . importantly , in contrast to wild - type mice , the fgf2 ( − / − ) mice spontaneously remyelinated completely during the recovery period after chronic demyelination . increased remyelination in fgf2 ( − / − ) mice correlated with enhanced oligodendroglial regeneration . fgf2 genotype did not alter the density of oligodendrocyte progenitor cells or proliferating cells after chronic demyelination . these findings indicate that attenuating fgf2 created a sufficiently permissive lesion environment for endogenous cells to effectively remyelinate viable axons even after chronic demyelination ."
automated identification of multiple micro-organisms from resequencing dna microarrays .,"there is an increasing recognition that detailed nucleic acid sequence information will be useful and even required in the diagnosis , treatment and surveillance of many significant pathogens . because generating detailed information about pathogens leads to significantly larger amounts of data , it is necessary to develop automated analysis methods to reduce analysis time and to standardize identification criteria . this is especially important for multiple pathogen assays designed to reduce assay time and costs . in this paper , we present a successful algorithm for detecting pathogens and reporting the maximum level of detail possible using multi-pathogen resequencing microarrays . the algorithm filters the sequence of base calls from the microarray and finds entries in genetic databases that most closely match . taxonomic databases are then used to relate these entries to each other so that the microorganism can be identified . although developed using a resequencing microarray , the approach is applicable to any assay method that produces base call sequence information . the success and continued development of this approach means that a non-expert can now perform unassisted analysis of the results obtained from partial sequence data ."
molecular dynamics simulations of human [ formula : see text ] : the role of modified bases in mrna recognition .,"accuracy in translation of the genetic code into proteins depends upon correct trna – mrna recognition in the context of the ribosome . in human [ formula : see text ] three modified bases are present in the anticodon stem – loop — 2 - methylthio - n6 - threonylcarbamoyladenosine at position 37 ( ms ( 2 ) t ( 6 ) a37 ) , 5 - methoxycarbonylmethyl -2-thiouridine at position 34 ( mcm ( 5 ) s ( 2 ) u34 ) and pseudouridine ( ψ ) at position 39 — two of which , ms ( 2 ) t ( 6 ) a37 and mcm ( 5 ) s ( 2 ) u34 , are required to achieve wild - type binding activity of wild - type human [ formula : see text ] [ c. yarian , m. marszalek , e. sochacka , a. malkiewicz , r. guenther , a. miskiewicz and p. f. agris ( 2000 ) biochemistry , 39 , 13390 – 13395 ] . molecular dynamics simulations of nine trna anticodon stem – loops with different combinations of nonstandard bases were performed . the wild - type simulation exhibited a canonical anticodon stair - stepped conformation . the ms ( 2 ) t ( 6 ) modification at position 37 is required for maintenance of this structure and reduces solvent accessibility of u36 . ms ( 2 ) t ( 6 ) a37 generally hydrogen bonds across the loop and may prevent u36 from rotating into solution . a water molecule does coordinate to ψ39 most of the simulation time but weakly , as most of the residence lifetimes are < 40 ps ."
a novel endonuclease iv post-pcr genotyping system .,"here we describe a novel endonuclease iv ( endo iv ) based assay utilizing a substrate that mimics the abasic lesions that normally occur in double - stranded dna . the three component substrate is characterized by single - stranded dna target , an oligonucleotide probe , separated from a helper oligonucleotide by a one base gap . the oligonucleotide probe contains a non-fluorescent quencher at the 5 ′ end and fluorophore attached to the 3 ′ end through a special rigid linker . fluorescence of the oligonucleotide probe is efficiently quenched by the interaction of terminal dye and quencher when not hybridized . upon hybridization of the oligonucleotide probe and helper probe to their complementary target , the phosphodiester linkage between the rigid linker and the 3 ′ end of the probe is efficiently cleaved , generating a fluorescent signal . in this study , the use of the endo iv assay as a post-pcr amplification detection system is demonstrated . high sensitivity and specificity are illustrated using single nucleotide polymorphism detection ."
pandemic influenza preparedness : an ethical framework to guide decision - making .,"background : planning for the next pandemic influenza outbreak is underway in hospitals across the world . the global sars experience has taught us that ethical frameworks to guide decision - making may help to reduce collateral damage and increase trust and solidarity within and between health care organisations . good pandemic planning requires reflection on values because science alone can not tell us how to prepare for a public health crisis . discussion : in this paper , we present an ethical framework for pandemic influenza planning . the ethical framework was developed with expertise from clinical , organisational and public health ethics and validated through a stakeholder engagement process . the ethical framework includes both substantive and procedural elements for ethical pandemic influenza planning . the incorporation of ethics into pandemic planning can be helped by senior hospital administrators sponsoring its use , by having stakeholders vet the framework , and by designing or identifying decision review processes . we discuss the merits and limits of an applied ethical framework for hospital decision - making , as well as the robustness of the framework . summary : the need for reflection on the ethical issues raised by the spectre of a pandemic influenza outbreak is great . our efforts to address the normative aspects of pandemic planning in hospitals have generated interest from other hospitals and from the governmental sector . the framework will require re-evaluation and refinement and we hope that this paper will generate feedback on how to make it even more robust ."
open lung biopsy in early - stage acute respiratory distress syndrome .,"introduction : acute respiratory distress syndrome ( ards ) has heterogeneous etiologies , rapid progressive change and a high mortality rate . to improve the outcome of ards , accurate diagnosis is essential to the application of effective early treatment . the present study investigated the clinical effects and safety of open lung biopsy ( olb ) in patients with early - stage ards of suspected non-infectious origin . methods : we undertook a retrospective study of 41 patients with early - stage ards ( defined as one week or less after intubation ) who underwent olb in two medical intensive care units of a tertiary care hospital from 1999 to 2005 . data analyzed included baseline characteristics , complication rate , pathological diagnoses , treatment alterations , and hospital survival . results : the age of patients was 55 ± 17 years ( mean ± sd ) . the average ratio of arterial partial pressure of oxygen ( pao ( 2 ) ) to fraction of inspired oxygen ( fio ( 2 ) ) was 116 ± 43 mmhg ( mean ± sd ) at biopsy . seventeen patients ( 41 % ) were immunocompromised . postoperative complications occurred in 20 % of patients ( 8/41 ) . all biopsies provided a pathological diagnosis with a diagnostic yield of 100 % . specific pathological diagnoses were made for 44 % of patients ( 18/41 ) . biopsy findings led to an alteration of treatment modality in 73 % of patients ( 30/41 ) . the treatment alteration rate was higher in patients with nonspecific diagnoses than in patients with specific diagnoses ( p = 0.0024 ) . overall mortality was 50 % ( 21/41 ) and was not influenced by age , gender , pre-olb oxygenation , complication rate , pathological results , and alteration of treatment . there was no surgery - related mortality . the survival rate for immunocompromised patients was better than that for immunocompetent patients ( 71 % versus 33 % ; p = 0.0187 ) in this study . conclusion : our retrospective study suggests that olb was a useful and acceptably safe diagnostic procedure in some selected patients with early - stage ards ."
association and host selectivity in multi-host pathogens .,"the distribution of multi-host pathogens over their host range conditions their population dynamics and structure . also , host co-infection by different pathogens may have important consequences for the evolution of hosts and pathogens , and host - pathogen co-evolution . hence it is of interest to know if the distribution of pathogens over their host range is random , or if there are associations between hosts and pathogens , or between pathogens sharing a host . to analyse these issues we propose indices for the observed patterns of host infection by pathogens , and for the observed patterns of co-infection , and tests to analyse if these patterns conform to randomness or reflect associations . applying these tests to the prevalence of five plant viruses on 21 wild plant species evidenced host - virus associations : most hosts and viruses were selective for viruses and hosts , respectively . interestingly , the more host - selective viruses were the more prevalent ones , suggesting that host specialisation is a successful strategy for multi-host pathogens . analyses also showed that viruses tended to associate positively in co-infected hosts . the developed indices and tests provide the tools to analyse how strong and common are these associations among different groups of pathogens , which will help to understand and model the population biology of multi-host pathogens ."
the effectiveness of contact tracing in emerging epidemics .,"background : contact tracing plays an important role in the control of emerging infectious diseases , but little is known yet about its effectiveness . here we deduce from a generic mathematical model how effectiveness of tracing relates to various aspects of time , such as the course of individual infectivity , the ( variability in ) time between infection and symptom - based detection , and delays in the tracing process . in addition , the possibility of iteratively tracing of yet asymptomatic infecteds is considered . with these insights we explain why contact tracing was and will be effective for control of smallpox and sars , only partially effective for foot - and - mouth disease , and likely not effective for influenza . methods and findings : we investigate contact tracing in a model of an emerging epidemic that is flexible enough to use for most infections . we consider isolation of symptomatic infecteds as the basic scenario , and express effectiveness as the proportion of contacts that need to be traced for a reproduction ratio smaller than 1 . we obtain general results for special cases , which are interpreted with respect to the likely success of tracing for influenza , smallpox , sars , and foot - and - mouth disease epidemics . conclusions : we conclude that ( 1 ) there is no general predictive formula for the proportion to be traced as there is for the proportion to be vaccinated ; ( 2 ) variability in time to detection is favourable for effective tracing ; ( 3 ) tracing effectiveness need not be sensitive to the duration of the latent period and tracing delays ; ( 4 ) iterative tracing primarily improves effectiveness when single - step tracing is on the brink of being effective ."
the waiting time for inter-country spread of pandemic influenza .,"background : the time delay between the start of an influenza pandemic and its subsequent initiation in other countries is highly relevant to preparedness planning . we quantify the distribution of this random time in terms of the separate components of this delay , and assess how the delay may be extended by non-pharmaceutical interventions . methods and findings : the model constructed for this time delay accounts for : ( i ) epidemic growth in the source region , ( ii ) the delay until an infected individual from the source region seeks to travel to an at - risk country , ( iii ) the chance that infected travelers are detected by screening at exit and entry borders , ( iv ) the possibility of in - flight transmission , ( v ) the chance that an infected arrival might not initiate an epidemic , and ( vi ) the delay until infection in the at - risk country gathers momentum . efforts that reduce the disease reproduction number in the source region below two and severe travel restrictions are most effective for delaying a local epidemic , and under favourable circumstances , could add several months to the delay . on the other hand , the model predicts that border screening for symptomatic infection , wearing a protective mask during travel , promoting early presentation of cases arising among arriving passengers and moderate reduction in travel volumes increase the delay only by a matter of days or weeks . elevated in - flight transmission reduces the delay only minimally . conclusions : the delay until an epidemic of pandemic strain influenza is imported into an at - risk country is largely determined by the course of the epidemic in the source region and the number of travelers attempting to enter the at - risk country , and is little affected by non-pharmaceutical interventions targeting these travelers . short of preventing international travel altogether , eradicating a nascent pandemic in the source region appears to be the only reliable method of preventing country - to - country spread of a pandemic strain of influenza ."
neutralizing antibody fails to impact the course of ebola virus infection in monkeys .,"prophylaxis with high doses of neutralizing antibody typically offers protection against challenge with viruses producing acute infections . in this study , we have investigated the ability of the neutralizing human monoclonal antibody , kz52 , to protect against ebola virus in rhesus macaques . this antibody was previously shown to fully protect guinea pigs from infection . four rhesus macaques were given 50 mg / kg of neutralizing human monoclonal antibody kz52 intravenously 1 d before challenge with 1,000 plaque - forming units of ebola virus , followed by a second dose of 50 mg / kg antibody 4 d after challenge . a control animal was exposed to virus in the absence of antibody treatment . passive transfer of the neutralizing human monoclonal antibody not only failed to protect macaques against challenge with ebola virus but also had a minimal effect on the explosive viral replication following infection . we show that the inability of antibody to impact infection was not due to neutralization escape . it appears that ebola virus has a mechanism of infection propagation in vivo in macaques that is uniquely insensitive even to high concentrations of neutralizing antibody ."
public health preparedness in alberta : a systems - level study .,"background : recent international and national events have brought critical attention to the canadian public health system and how prepared the system is to respond to various types of contemporary public health threats . this article describes the study design and methods being used to conduct a systems - level analysis of public health preparedness in the province of alberta , canada . the project is being funded under the health research fund , alberta heritage foundation for medical research . methods / design : we use an embedded , multiple - case study design , integrating qualitative and quantitative methods to measure empirically the degree of inter-organizational coordination existing among public health agencies in alberta , canada . we situate our measures of inter-organizational network ties within a systems - level framework to assess the relative influence of inter-organizational ties , individual organizational attributes , and institutional environmental features on public health preparedness . the relative contribution of each component is examined for two potential public health threats : pandemic influenza and west nile virus . discussion : the organizational dimensions of public health preparedness depend on a complex mix of individual organizational characteristics , inter-agency relationships , and institutional environmental factors . our study is designed to discriminate among these different system components and assess the independent influence of each on the other , as well as the overall level of public health preparedness in alberta . while all agree that competent organizations and functioning networks are important components of public health preparedness , this study is one of the first to use formal network analysis to study the role of inter-agency networks in the development of prepared public health systems ."
the immunoregulatory and allergy - associated cytokines in the aetiology of the otitis media with effusion .,"inflammation in the middle ear mucosa , which can be provoked by different primary factors such as bacterial and viral infection , local allergic reactions and reflux , is the crucial event in the pathogenesis of otitis media with effusion ( ome ) . unresolved acute inflammatory responses or defective immunoregulation of middle inflammation can promote chronic inflammatory processes and stimulate the chronic condition of ome . cytokines are the central molecular regulators of middle ear inflammation and can switch the acute phase of inflammation in the chronic stage and induce molecular - pathological processes leading to the histopathological changes accompanying ome . in this review we present cytokines identified in otitis media , immunoregulatory [ interleukin ( il ) - 2 , il - 10 , transforming growth factor - beta ] ) and allergy associated ( il - 4 , il - 5 , granulocyte - macrophage colony - stimulating factor ) , as crucial molecular regulators , responsible for chronic inflammation in the middle ear and the chronic condition of ome ."
"bench - to - bedside review : critical illness - associated cognitive dysfunction – mechanisms , markers , and emerging therapeutics .","cognitive dysfunction is common in critically ill patients , not only during the acute illness but also long after its resolution . a large number of pathophysiologic mechanisms are thought to underlie critical illness - associated cognitive dysfunction , including neuro - transmitter abnormalities and occult diffuse brain injury . markers that could be used to evaluate the influence of specific mechanisms in individual patients include serum anticholinergic activity , certain brain proteins , and tissue sodium concentration determination via high - resolution three - dimensional magnetic resonance imaging . although recent therapeutic advances in this area are exciting , they are still too immature to influence patient care . additional research is needed if we are to understand better the relative contributions of specific mechanisms to the development of critical illness - associated cognitive dysfunction and to determine whether these mechanisms might be amenable to treatment or prevention ."
procat : a data analysis approach for protein microarrays .,"protein microarrays provide a versatile method for the analysis of many protein biochemical activities . existing dna microarray analytical methods do not translate to protein microarrays due to differences between the technologies . here we report a new approach , procat , which corrects for background bias and spatial artifacts , identifies significant signals , filters nonspecific spots , and normalizes the resulting signal to protein abundance . procat provides a powerful and flexible new approach for analyzing many types of protein microarrays ."
positional clustering improves computational binding site detection and identifies novel cis - regulatory sites in mammalian gaba ( a ) receptor subunit genes .,"understanding transcription factor ( tf ) mediated control of gene expression remains a major challenge at the interface of computational and experimental biology . computational techniques predicting tf - binding site specificity are frequently unreliable . on the other hand , comprehensive experimental validation is difficult and time consuming . we introduce a simple strategy that dramatically improves robustness and accuracy of computational binding site prediction . first , we evaluate the rate of recurrence of computational tfbs predictions by commonly used sampling procedures . we find that the vast majority of results are biologically meaningless . however clustering results based on nucleotide position improves predictive power . additionally , we find that positional clustering increases robustness to long or imperfectly selected input sequences . positional clustering can also be used as a mechanism to integrate results from multiple sampling approaches for improvements in accuracy over each one alone . finally , we predict and validate regulatory sequences partially responsible for transcriptional control of the mammalian type a γ - aminobutyric acid receptor ( gaba ( a ) r ) subunit genes . positional clustering is useful for improving computational binding site predictions , with potential application to improving our understanding of mammalian gene expression . in particular , predicted regulatory mechanisms in the mammalian gaba ( a ) r subunit gene family may open new avenues of research towards understanding this pharmacologically important neurotransmitter receptor system ."
the transmissibility of highly pathogenic avian influenza in commercial poultry in industrialised countries .,"background : with the increased occurrence of outbreaks of h5n1 worldwide there is concern that the virus could enter commercial poultry farms with severe economic consequences . methodology / principal findings : we analyse data from four recent outbreaks of highly pathogenic avian influenza ( hpai ) in commercial poultry to estimate the farm - to - farm reproductive number for hpai . the reproductive number is a key measure of the transmissibility of hpai at the farm level because it can be used to evaluate the effectiveness of the control measures . in these outbreaks the mean farm - to - farm reproductive number prior to controls ranged from 1.1 to 2.4 , with the maximum farm - based reproductive number in the range 2.2 to 3.2 . enhanced bio-security , movement restrictions and prompt isolation of the infected farms in all four outbreaks substantially reduced the reproductive number , but it remained close to the threshold value 1 necessary to ensure the disease will be eradicated . conclusions / significance : our results show that depending on the particular situation in which an outbreak of avian influenza occurs , current controls might not be enough to eradicate the disease , and therefore a close monitoring of the outbreak is required . the method we used for estimating the reproductive number is straightforward to implement and can be used in real - time . it therefore can be a useful tool to inform policy decisions ."
the influenza pandemic preparedness planning tool influsim .,"background : planning public health responses against pandemic influenza relies on predictive models by which the impact of different intervention strategies can be evaluated . research has to date rather focused on producing predictions for certain localities or under specific conditions , than on designing a publicly available planning tool which can be applied by public health administrations . here , we provide such a tool which is reproducible by an explicitly formulated structure and designed to operate with an optimal combination of the competing requirements of precision , realism and generality . results : influsim is a deterministic compartment model based on a system of over 1,000 differential equations which extend the classic seir model by clinical and demographic parameters relevant for pandemic preparedness planning . it allows for producing time courses and cumulative numbers of influenza cases , outpatient visits , applied antiviral treatment doses , hospitalizations , deaths and work days lost due to sickness , all of which may be associated with economic aspects . the software is programmed in java , operates platform independent and can be executed on regular desktop computers . conclusion : influsim is an online available software which efficiently assists public health planners in designing optimal interventions against pandemic influenza . it can reproduce the infection dynamics of pandemic influenza like complex computer simulations while offering at the same time reproducibility , higher computational performance and better operability ."
immune pathways and defence mechanisms in honey bees apis mellifera .,"social insects are able to mount both group - level and individual defences against pathogens . here we focus on individual defences , by presenting a genome - wide analysis of immunity in a social insect , the honey bee apis mellifera . we present honey bee models for each of four signalling pathways associated with immunity , identifying plausible orthologues for nearly all predicted pathway members . when compared to the sequenced drosophila and anopheles genomes , honey bees possess roughly one - third as many genes in 17 gene families implicated in insect immunity . we suggest that an implied reduction in immune flexibility in bees reflects either the strength of social barriers to disease , or a tendency for bees to be attacked by a limited set of highly coevolved pathogens ."
"elad , a deubiquitinating protease expressed by e. coli .","background : ubiquitin and ubiquitin - like proteins ( ubl ) are designed to modify polypeptides in eukaryotes . covalent binding of ubiquitin or ubls to substrate proteins can be reversed by specific hydrolases . one particular set of cysteine proteases , the ce clan , which targets ubiquitin and ubls , has homologs in eukaryotes , prokaryotes , and viruses . findings : we have cloned and analyzed the e. coli protein elad , which is distantly related to eukaryotic ce clan members of the ulp / senp protease family that are specific for sumo and nedd8 . previously misannotated as a putative sulfatase / phosphatase , elad is an efficient and specific deubiquitinating enzyme in vitro . interestingly , elad is present in all intestinal pathogenic e. coli strains , but conspicuously absent from extraintestinal pathogenic strains ( expecs ) . further homologs of this protease can be found in acanthamoeba polyphaga mimivirus , and in alpha - , beta - and gammaproteobacteria . conclusion : the expression of ulp / senp - related hydrolases in bacteria therefore extends to plant pathogens and medically relevant strains of escherichia coli , legionella pneumophila , rickettsiae , chlamydiae , and salmonellae , in which the elad ortholog ssel has recently been identified as a virulence factor with deubiquitinating activity . as a counterpoint , our phylogenetic and functional examination reveals that ancient eukaryotic ulp / senp proteases also have the potential of ubiquitin - specific hydrolysis , suggesting an early common origin of this peptidase clan ."
mutational analysis of human ceacam1 : the potential of receptor polymorphism in increasing host susceptibility to bacterial infection .,"a common overlapping site on the n - terminal igv - like domain of human carcinoembryonic antigen ( cea ) - related cell adhesion molecules ( ceacams ) is targeted by several important human respiratory pathogens . these include neisseria meningitidis ( nm ) and haemophilus influenzae ( hi ) that can cause disseminated or persistent localized infections . to define the precise structural features that determine the binding of distinct pathogens with ceacams , we have undertaken molecular modelling and mutation of the receptor molecules at previously implicated key target residues required for bacterial binding . these include ser - 32 , tyr - 34 , val - 39 , gln - 44 and gln - 89 , in addition to ile - 91 , the primary docking site for the pathogens . most , but not all , of these residues located adjacent to each other in a previous n - domain model of human ceacam1 , which was based on rei , cd2 and cd4 . in the current studies , we have refined this model based on the mouse ceacam1 crystal structure , and observe that all of the above residues form an exposed continuous binding region on the n - domain . examination of the model also suggested that substitution of two of these residues 34 and 89 could affect the accessibility of ile - 91 for ligand binding . by introducing selected mutations at the positions 91 , 34 and 89 , we confirmed the primary importance of ile - 91 in all bacterial binding to ceacam1 despite the inter - and intraspecies structural differences between the bacterial ceacam - binding ligands . the studies further indicated that the efficiency of binding was significantly enhanced for specific strains by mutations such as y34f and q89n , which also altered the hierarchy of nm versus hi strain binding . these studies imply that distinct polymorphisms in human epithelial ceacams have the potential to decrease or increase the risk of infection by the receptor - targeting pathogens ."
immune reconstitution inflammatory syndrome ( iris ) : review of common infectious manifestations and treatment options .,"the immune reconstitution inflammatory syndrome ( iris ) in hiv - infected patients initiating antiretroviral therapy ( art ) results from restored immunity to specific infectious or non-infectious antigens . a paradoxical clinical worsening of a known condition or the appearance of a new condition after initiating therapy characterizes the syndrome . potential mechanisms for the syndrome include a partial recovery of the immune system or exuberant host immunological responses to antigenic stimuli . the overall incidence of iris is unknown , but is dependent on the population studied and its underlying opportunistic infectious burden . the infectious pathogens most frequently implicated in the syndrome are mycobacteria , varicella zoster , herpesviruses , and cytomegalovirus ( cmv ) . no single treatment option exists and depends on the underlying infectious agent and its clinical presentation . prospective cohort studies addressing the optimal screening and treatment of opportunistic infections in patients eligible for art are currently being conducted . these studies will provide evidence for the development of treatment guidelines in order to reduce the burden of iris . we review the available literature on the pathogenesis and epidemiology of iris , and present treatment options for the more common infectious manifestations of this diverse syndrome and for manifestations associated with a high morbidity ."
global surveillance of emerging influenza virus genotypes by mass spectrometry .,"background : effective influenza surveillance requires new methods capable of rapid and inexpensive genomic analysis of evolving viral species for pandemic preparedness , to understand the evolution of circulating viral species , and for vaccine strain selection . we have developed one such approach based on previously described broad - range reverse transcription pcr / electrospray ionization mass spectrometry ( rt - pcr / esi - ms ) technology . methods and principal findings : analysis of base compositions of rt - pcr amplicons from influenza core gene segments ( pb1 , pb2 , pa , m , ns , np ) are used to provide sub-species identification and infer influenza virus h and n subtypes . using this approach , we detected and correctly identified 92 mammalian and avian influenza isolates , representing 30 different h and n types , including 29 avian h5n1 isolates . further , direct analysis of 656 human clinical respiratory specimens collected over a seven - year period ( 1999 – 2006 ) showed correct identification of the viral species and subtypes with > 97 % sensitivity and specificity . base composition derived clusters inferred from this analysis showed 100 % concordance to previously established clades . ongoing surveillance of samples from the recent influenza virus seasons ( 2005 – 2006 ) showed evidence for emergence and establishment of new genotypes of circulating h3n2 strains worldwide . mixed viral quasispecies were found in approximately 1 % of these recent samples providing a view into viral evolution . conclusion / significance : thus , rapid rt - pcr / esi - ms analysis can be used to simultaneously identify all species of influenza viruses with clade - level resolution , identify mixed viral populations and monitor global spread and emergence of novel viral genotypes . this high - throughput method promises to become an integral component of influenza surveillance ."
transmission parameters of the 2001 foot and mouth epidemic in great britain .,"despite intensive ongoing research , key aspects of the spatial - temporal evolution of the 2001 foot and mouth disease ( fmd ) epidemic in great britain ( gb ) remain unexplained . here we develop a markov chain monte carlo ( mcmc ) method for estimating epidemiological parameters of the 2001 outbreak for a range of simple transmission models . we make the simplifying assumption that infectious farms were completely observed in 2001 , equivalent to assuming that farms that were proactively culled but not diagnosed with fmd were not infectious , even if some were infected . we estimate how transmission parameters varied through time , highlighting the impact of the control measures on the progression of the epidemic . we demonstrate statistically significant evidence for assortative contact patterns between animals of the same species . predictive risk maps of the transmission potential in different geographic areas of gb are presented for the fitted models ."
efficient replication of pneumonia virus of mice ( pvm ) in a mouse macrophage cell line .,"pneumonia virus of mice ( pvm ; family paramyxoviridae , subfamily pneumovirinae ) is a natural respiratory pathogen of rodent species and an important new model for the study of severe viral bronchiolitis and pneumonia . however , despite high virus titers typically detected in infected mouse lung tissue in vivo , cell lines used routinely for virus propagation in vitro are not highly susceptible to pvm infection . we have evaluated several rodent and primate cell lines for susceptibility to pvm infection , and detected highest virus titers from infection of the mouse monocyte - macrophage raw 264.7 cell line . additionally , virus replication in raw 264.7 cells induces the synthesis and secretion of proinflammatory cytokines relevant to respiratory virus disease , including tumor necrosis factor - α ( tnf - α ) , interferon - β ( ifn - β ) , macrophage inflammatory proteins 1α and 1β ( mip - 1α and mip - 1β ) and the functional homolog of human il - 8 , mouse macrophage inflammatory peptide - 2 ( mip - 2 ) . identification and characterization of a rodent cell line that supports the replication of pvm and induces the synthesis of disease - related proinflammatory mediators will facilitate studies of molecular mechanisms of viral pathogenesis that will complement and expand on findings from mouse model systems ."
designing and conducting tabletop exercises to assess public health preparedness for manmade and naturally occurring biological threats .,"background : since 2001 , state and local health departments in the united states ( us ) have accelerated efforts to prepare for high - impact public health emergencies . one component of these activities has been the development and conduct of exercise programs to assess capabilities , train staff and build relationships . this paper summarizes lessons learned from tabletop exercises about public health emergency preparedness and about the process of developing , conducting , and evaluating them . methods : we developed , conducted , and evaluated 31 tabletop exercises in partnership with state and local health departments throughout the us from 2003 to 2006 . participant self evaluations , after action reports , and tabletop exercise evaluation forms were used to identify aspects of the exercises themselves , as well as public health emergency responses that participants found more or less challenging , and to highlight lessons learned about tabletop exercise design . results : designing the exercises involved substantial collaboration with representatives from participating health departments to assure that the scenarios were credible , focused attention on local preparedness needs and priorities , and were logistically feasible to implement . during execution of the exercises , nearly all health departments struggled with a common set of challenges relating to disease surveillance , epidemiologic investigations , communications , command and control , and health care surge capacity . in contrast , performance strengths were more varied across participating sites , reflecting specific attributes of individual health departments or communities , experience with actual public health emergencies , or the emphasis of prior preparedness efforts . conclusion : the design , conduct , and evaluation of the tabletop exercises described in this report benefited from collaborative planning that involved stakeholders from participating health departments and exercise developers and facilitators from outside the participating agencies . while these exercises identified both strengths and vulnerabilities in emergency preparedness , additional work is needed to develop reliable metrics to gauge exercise performance , inform follow - up action steps , and to develop re-evaluation exercise designs that assess the impact of post-exercise interventions ."
transcript - level annotation of affymetrix probesets improves the interpretation of gene expression data .,"background : the wide use of affymetrix microarray in broadened fields of biological research has made the probeset annotation an important issue . standard affymetrix probeset annotation is at gene level , i.e. a probeset is precisely linked to a gene , and probeset intensity is interpreted as gene expression . the increased knowledge that one gene may have multiple transcript variants clearly brings up the necessity of updating this gene - level annotation to a refined transcript - level . results : through performing rigorous alignments of the affymetrix probe sequences against a comprehensive pool of currently available transcript sequences , and further linking the probesets to the international protein index , we generated transcript - level or protein - level annotation tables for two popular affymetrix expression arrays , mouse genome 430a 2.0 array and human genome u133a array . application of our new annotations in re-examining existing expression data sets shows increased expression consistency among synonymous probesets and strengthened expression correlation between interacting proteins . conclusion : by refining the standard affymetrix annotation of microarray probesets from the gene level to the transcript level and protein level , one can achieve a more reliable interpretation of their experimental data , which may lead to discovery of more profound regulatory mechanism ."
selective redox regulation of cytokine receptor signaling by extracellular thioredoxin - 1 .,"the thiol - disulfide oxidoreductase thioredoxin - 1 ( trx1 ) is known to be secreted by leukocytes and to exhibit cytokine - like properties . extracellular effects of trx1 require a functional active site , suggesting a redox - based mechanism of action . however , specific cell surface proteins and pathways coupling extracellular trx1 redox activity to cellular responses have not been identified so far . using a mechanism - based kinetic trapping technique to identify disulfide exchange interactions on the intact surface of living lymphocytes , we found that trx1 catalytically interacts with a single principal target protein . this target protein was identified as the tumor necrosis factor receptor superfamily member 8 ( tnfrsf8 / cd30 ) . we demonstrate that the redox interaction is highly specific for both trx1 and cd30 and that the redox state of cd30 determines its ability to engage the cognate ligand and transduce signals . furthermore , we confirm that trx1 affects cd30 - dependent changes in lymphocyte effector function . thus , we conclude that receptor – ligand signaling interactions can be selectively regulated by an extracellular redox catalyst ."
screen for isg15 - crossreactive deubiquitinases .,"background : the family of ubiquitin - like molecules ( ubls ) comprises several members , each of which has sequence , structural , or functional similarity to ubiquitin . isg15 is a homolog of ubiquitin in vertebrates and is strongly upregulated following induction by type i interferon . isg15 can be covalently attached to proteins , analogous to ubiquitination and with actual support of ubiquitin conjugating factors . specific proteases are able to reverse modification with ubiquitin or ubls by hydrolyzing the covalent bond between their c - termini and substrate proteins . the tail regions of ubiquitin and isg15 are identical and we therefore hypothesized that promiscuous deubiquitinating proteases ( dubs ) might exist , capable of recognizing both ubiquitin and isg15 . results : we have cloned and expressed 22 human dubs , representing the major clades of the usp protease family . utilizing suicide inhibitors based on ubiquitin and isg15 , we have identified usp2 , usp5 ( isot1 ) , usp13 ( isot3 ) , and usp14 as isg15 - reactive proteases , in addition to the bona fide isg15 - specific protease usp18 ( ubp43 ) . usp14 is a proteasome - associated dub , and its isg15 isopeptidase activity increases when complexed with the proteasome . conclusions : by evolutionary standards , isg15 is a newcomer among the ubls and it apparently not only utilizes the conjugating but also the deconjugating machinery of its more established relative ubiquitin . functional overlap between these two posttranslational modifiers might therefore be more extensive than previously appreciated and explain the rather innocuous phenotype of isg15 null mice ."
